date,time,open,high,low,close,volume
2021-10-11,19:45,1.36128,1.36135,1.36091,1.36098,1075
2021-10-11,20:00,1.36100,1.36105,1.36058,1.36079,998
2021-10-11,20:15,1.36077,1.36079,1.36014,1.36035,902
2021-10-11,20:30,1.36034,1.36080,1.36033,1.36078,1322
2021-10-11,20:45,1.36075,1.36085,1.36035,1.36076,1518
2021-10-11,21:00,1.36076,1.36093,1.36067,1.36085,1049
2021-10-11,21:15,1.36086,1.36099,1.36044,1.36067,748
2021-10-11,21:30,1.36066,1.36093,1.36046,1.36092,950
2021-10-11,21:45,1.36091,1.36097,1.36060,1.36086,987
2021-10-11,22:00,1.36086,1.36086,1.36046,1.36070,1158
2021-10-11,22:15,1.36071,1.36092,1.36044,1.36066,1263
2021-10-11,22:30,1.36067,1.36089,1.36055,1.36070,977
2021-10-11,22:45,1.36069,1.36092,1.35857,1.35867,1516
2021-10-11,23:00,1.35867,1.35936,1.35839,1.35921,1252
2021-10-11,23:15,1.35921,1.35921,1.35898,1.35913,254
2021-10-11,23:30,1.35912,1.35942,1.35898,1.35936,303
2021-10-11,23:45,1.35935,1.35944,1.35932,1.35936,424
2021-10-12,00:00,1.35937,1.35948,1.35902,1.35908,188
2021-10-12,00:15,1.35914,1.35954,1.35904,1.35941,54
2021-10-12,00:30,1.35937,1.35957,1.35930,1.35936,73
2021-10-12,00:45,1.35936,1.35949,1.35935,1.35944,97
2021-10-12,01:00,1.35944,1.35952,1.35898,1.35936,647
2021-10-12,01:15,1.35935,1.35948,1.35912,1.35912,375
2021-10-12,01:30,1.35913,1.35924,1.35911,1.35923,155
2021-10-12,01:45,1.35922,1.35922,1.35842,1.35849,392
2021-10-12,02:00,1.35850,1.35878,1.35843,1.35877,361
2021-10-12,02:15,1.35877,1.35879,1.35864,1.35870,261
2021-10-12,02:30,1.35871,1.35904,1.35864,1.35899,243
2021-10-12,02:45,1.35899,1.35916,1.35890,1.35908,241
2021-10-12,03:00,1.35911,1.35943,1.35883,1.35913,920
2021-10-12,03:15,1.35912,1.35912,1.35871,1.35881,921
2021-10-12,03:30,1.35882,1.35893,1.35837,1.35855,541
2021-10-12,03:45,1.35851,1.35864,1.35818,1.35848,880
2021-10-12,04:00,1.35847,1.35882,1.35819,1.35876,736
2021-10-12,04:15,1.35877,1.35905,1.35827,1.35835,847
2021-10-12,04:30,1.35835,1.35888,1.35807,1.35888,917
2021-10-12,04:45,1.35888,1.35900,1.35863,1.35897,1041
2021-10-12,05:00,1.35897,1.35965,1.35888,1.35953,900
2021-10-12,05:15,1.35953,1.35985,1.35945,1.35981,925
2021-10-12,05:30,1.35981,1.35999,1.35974,1.35981,868
2021-10-12,05:45,1.35980,1.35997,1.35957,1.35996,596
2021-10-12,06:00,1.35995,1.36026,1.35976,1.35979,603
2021-10-12,06:15,1.35979,1.35992,1.35960,1.35970,631
2021-10-12,06:30,1.35970,1.35987,1.35965,1.35985,539
2021-10-12,06:45,1.35985,1.35991,1.35963,1.35963,469
2021-10-12,07:00,1.35962,1.35979,1.35961,1.35967,340
2021-10-12,07:15,1.35967,1.35990,1.35956,1.35978,460
2021-10-12,07:30,1.35978,1.35980,1.35947,1.35955,393
2021-10-12,07:45,1.35955,1.35977,1.35950,1.35962,450
2021-10-12,08:00,1.35962,1.36049,1.35962,1.36041,895
2021-10-12,08:15,1.36041,1.36045,1.36017,1.36042,862
2021-10-12,08:30,1.36041,1.36076,1.36036,1.36074,837
2021-10-12,08:45,1.36074,1.36094,1.36036,1.36068,824
2021-10-12,09:00,1.36066,1.36113,1.36043,1.36078,2120
2021-10-12,09:15,1.36078,1.36079,1.36025,1.36040,1529
2021-10-12,09:30,1.36039,1.36067,1.35993,1.36033,1462
2021-10-12,09:45,1.36034,1.36071,1.36017,1.36066,1561
2021-10-12,10:00,1.36067,1.36068,1.35835,1.35905,2496
2021-10-12,10:15,1.35912,1.35956,1.35893,1.35902,1357
2021-10-12,10:30,1.35900,1.35981,1.35890,1.35936,2121
2021-10-12,10:45,1.35935,1.35991,1.35844,1.35846,1593
2021-10-12,11:00,1.35848,1.35909,1.35751,1.35760,1362
2021-10-12,11:15,1.35760,1.35907,1.35686,1.35904,1982
2021-10-12,11:30,1.35904,1.35975,1.35889,1.35968,1829
2021-10-12,11:45,1.35968,1.36032,1.35930,1.35997,1478
2021-10-12,12:00,1.35998,1.36120,1.35966,1.36112,1536
2021-10-12,12:15,1.36113,1.36205,1.36113,1.36125,1873
2021-10-12,12:30,1.36124,1.36126,1.36003,1.36008,1080
2021-10-12,12:45,1.36009,1.36083,1.35982,1.35988,1533
2021-10-12,13:00,1.35988,1.36089,1.35988,1.36059,878
2021-10-12,13:15,1.36058,1.36107,1.35994,1.36020,1307
2021-10-12,13:30,1.36019,1.36183,1.36013,1.36154,1319
2021-10-12,13:45,1.36153,1.36194,1.36117,1.36154,1339
2021-10-12,14:00,1.36153,1.36205,1.36114,1.36147,1049
2021-10-12,14:15,1.36147,1.36203,1.36125,1.36198,817
2021-10-12,14:30,1.36198,1.36259,1.36179,1.36215,863
2021-10-12,14:45,1.36216,1.36298,1.36192,1.36250,1036
2021-10-12,15:00,1.36246,1.36372,1.36242,1.36325,1696
2021-10-12,15:15,1.36326,1.36344,1.36186,1.36206,1300
2021-10-12,15:30,1.36205,1.36235,1.36004,1.36028,2091
2021-10-12,15:45,1.36029,1.36084,1.35951,1.36072,2182
2021-10-12,16:00,1.36073,1.36197,1.36035,1.36161,2183
2021-10-12,16:15,1.36161,1.36214,1.36041,1.36076,1636
2021-10-12,16:30,1.36074,1.36125,1.35939,1.35963,2670
2021-10-12,16:45,1.35958,1.36026,1.35895,1.35950,3161
2021-10-12,17:00,1.35950,1.35962,1.35764,1.35804,3705
2021-10-12,17:15,1.35804,1.35844,1.35690,1.35785,2962
2021-10-12,17:30,1.35786,1.35845,1.35701,1.35837,2808
2021-10-12,17:45,1.35837,1.36039,1.35823,1.36000,3036
2021-10-12,18:00,1.35995,1.36028,1.35927,1.35968,2502
2021-10-12,18:15,1.35968,1.36017,1.35910,1.36013,2301
2021-10-12,18:30,1.36013,1.36033,1.35952,1.35964,2491
2021-10-12,18:45,1.35963,1.36048,1.35956,1.36028,2155
2021-10-12,19:00,1.36029,1.36053,1.35981,1.35997,1723
